name,category,date_inscribed,area_ha,latitude,longitude,components_count,description
Greater Blue Mountains Area,Natural,2000,1032649.0,-33.7,150.0,1,"The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites."
Great Barrier Reef,Natural,1981,34870000.0,-18.28611111,147.7,1,"The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction."
Lord Howe Island Group,Natural,1982,146300.0,-31.56555556,159.0883333,1,"A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds."
Ningaloo Coast,Natural,2011,705015.0,-22.5625,113.8102777778,1,"The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site"
"Shark Bay, Western Australia",Natural,1991,2200902.0,-25.48611111,113.4361111,1,"At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (‘sea cow’) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals."
Royal Exhibition Building and Carlton Gardens,Cultural,2004,26.0,-37.80611111,144.9702778,1,"The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations."
Sydney Opera House,Cultural,2007,5.8,-33.8566666667,151.2152777777,1,"Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted ‘shells’ which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect Jørn Utzon, it marked a radically new approach to construction."
Wet Tropics of Queensland,Natural,1988,893453.0,-15.65,144.9666667,14,"This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species."
K’gari,Natural,1992,181851.0,-25.21666667,153.1333333,1,"K’gari lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world’s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site."
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Mixed,1987,132566.0,-25.33333333,131.0,1,"This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people."
Tasmanian Wilderness,Mixed,1982,1584233.0,-43.1184722222,146.2305555556,1,"In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years."
